Cluster ID,Plot ID,Subplot,Count,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m),Dominant species,List of other species
12,7,3,9,9.2,5.6,2.4,1.4,31,71; 81; 18
12,7,4,4,7.6,4.5,3.2,1.9,31,54; 87
12,9,1,6,9,6.8,5.6,2.5,104,87; 25
12,9,2,4,8,5.4,2.6,1.8,111,87
12,9,3,4,8.4,6,4.8,2.9,87,54
12,9,4,4,6.2,4.9,2.9,1.8,54,87
12,10,1,12,7.1,6,2.3,1.9,10,106; 104
12,10,2,7,9.1,8,2.9,1.8,54,104; 111
12,10,3,11,8,7.2,1.9,1.2,54,106; 104; 7
12,10,4,10,7.3,6.5,3.1,2.7,104,10; 111
13,1,1,10,4.5,3.2,2.1,1.9,100,111
13,1,2,5,5,3.6,2.1,1.8,61,100
13,2,1,18,7,4.5,2.9,1.4,54,104; 10; 89
13,2,2,12,9,7.2,3.4,3,89,54; 104; 18
13,2,3,5,5.9,4.6,3.4,2.6,54,104; 65
13,2,4,26,10,11,3.6,2.4,104,54; 89; 111; 65
13,3,1,3,4.5,3.5,2.9,1.4,61,100
13,3,3,9,5,3.4,2.1,1.2,100,54
13,3,4,1,4.5,3.1,1.9,1.4,100,
13,4,1,4,10,6.4,3.4,2.9,85,18; 65
13,4,2,6,7,5.4,2.4,1.1,111,18; 61
13,4,3,1,4.8,3.7,1.6,1.1,86,
13,4,4,10,8.6,5.5,4.1,2.9,61,54; 65; 18
13,6,1,5,9,7,4.3,4.2,111,61; 111
13,6,2,6,10,6,3.4,2.9,61,71; 111
13,6,3,2,8,5,2.2,1.6,111,18
13,6,4,7,8.5,6.3,3.1,2.4,71,111; 18
13,7,1,6,7,4.5,4.2,3.4,10,85; 89; 111
13,7,3,3,4.5,3.8,2.9,2.4,10,71
13,7,4,2,4.3,5,3.9,3.1,10,
13,8,1,3,4.5,3.5,2.9,1.4,61,100
13,8,3,4,5,3.4,2.1,1.2,100,111
13,8,4,1,4.2,3.1,1.9,1.4,100,
13,9,1,4,6.3,5.2,3.9,3.4,111,89; 65
13,9,4,3,4.6,4.5,2.4,1.6,111,
13,10,1,11,5,4.5,2.9,2.4,102,104; 111
13,10,2,3,6.5,5,4.2,4.1,104,111
13,10,3,1,4.5,3.6,1.9,1.4,102,
13,10,4,5,7,8,5.1,4.4,111,102; 104
13,11,2,2,4.5,3.6,2.1,1.4,61,
13,11,3,1,9,5,3.3,2,54,
14,1,1,1,8,6.2,3.1,2.2,111,
14,1,3,2,4.4,3.4,2.1,1.6,54,
14,1,4,2,4.8,3.5,1.9,1.4,104,
14,2,1,4,5,3.1,1.8,0.9,111,54; 111
14,2,2,8,5.8,4.6,3.2,1.5,66,111
14,2,3,15,8,9,3.2,1.4,89,4; 98
14,2,4,10,9,6,4,3.5,111,104; 98; 89
14,3,1,10,4.5,6,2.5,1.3,66,89; 55
14,3,2,6,5.5,8,5,4.5,103,89
14,3,3,11,6,6,4.5,4,111,66
14,3,4,8,7,7.5,3.1,1.7,66,89
14,4,3,6,5,3.5,1,0.7,4,111
14,8,1,7,10,11,4.1,3.4,109,94
14,8,2,4,9.4,7.5,4.5,4.2,100,86
14,8,3,4,8.5,7.5,4.5,4.1,105,4
14,8,4,5,9,8.5,4.3,4,103,89
14,11,1,18,9,6.5,4,2.3,89,111; 86
14,11,2,16,9,4.5,3.3,2,4,89; 111; 86
14,11,3,52,10,7,3.7,2.1,111,4; 86; 111; 52
14,11,4,43,10,6.5,4.4,4.2,1,4; 111; 89; 85
15,2,1,11,8,6.5,4.1,3.2,66,104; 55; 54
15,2,4,6,9,7.1,3.1,2.4,66,65
15,3,1,8,9,8.5,3.4,2.6,104,87; 71
15,3,2,5,6,4.5,3.4,2.1,52,104; 87
15,3,3,8,6.2,5.4,3.8,2.4,87,111; 104; 54
15,3,4,9,8,6.2,4.6,3.4,104,87; 71; 
15,5,1,12,9,10.2,2.6,1.2,87,65
15,5,2,9,8.2,10.1,2.8,1.6,87,66
15,5,3,6,8,9,3.1,2.6,87,66
15,5,4,7,7,8.5,3.4,3.1,87,
15,6,1,5,6.5,7.3,4.1,3.6,61,54; 104
15,6,2,4,5.8,5.5,2.9,1.2,54,104
15,6,3,2,6.1,7.2,2.8,1.2,87,104
15,6,4,7,7.5,6.5,3.1,2.9,54,104; 66
15,7,1,5,8,7,2.1,1.3,87,
15,7,2,13,9.2,8,3.1,2.9,87,
15,7,3,8,10,11,2.9,1.3,87,
15,7,4,10,9.2,9,3.4,2.9,87,
15,8,1,6,10,7.5,6.1,4.2,102,54; 66
15,8,2,13,9,9.3,3.8,2.9,65,66; 111
15,8,3,12,9,8.6,4.1,3.1,66,102; 104; 54; 65
15,8,4,9,9,8.7,3.9,2.4,66,102; 54
15,9,1,1,6,4.5,2.1,1.6,65,
15,10,4,6,9,6.5,3.8,2.2,104,65
15,11,1,20,8,6,4.5,3.2,66,65; 111
15,11,2,14,8,7.2,3.1,2.8,10,65; 111; 102
15,11,3,16,5,3.8,2.5,1.9,66,111; 65
15,11,4,14,9,8.2,4.2,3.1,65,66; 10
16,1,2,5,4.8,3.6,2,1.2,89,1
16,1,3,1,9,6,3.7,3.2,89,
16,1,4,2,5.4,4.3,2.4,2,1,
16,6,1,8,9,4.9,3.9,3.4,111,14; 
16,6,3,6,10,8.5,5.2,4.9,66,54; 14
16,6,4,4,6,5.5,3.9,3.1,66,101
16,7,1,6,8,9,3.1,2,111,110; 111
16,7,2,5,8,8.5,4.2,3.8,86,103; 106
16,7,3,10,8,9,4.2,3.2,110,111; 103; 106
16,7,4,3,10,11,3.2,3.1,103,111
16,9,1,8,6.5,8,3,2.5,111,54; 80
16,9,2,23,6.8,7,1.5,1,66,89; 54; 131
16,9,3,6,7,8,2.3,1.6,54,66
16,9,4,11,7,6.5,5.3,4.7,89,111
16,10,1,26,7.5,8,4.5,2.6,104,111; 89; 66
16,10,2,12,10,8.4,6,5.4,111,89; 111
16,10,3,19,9.8,6.9,4.2,4.1,89,66; 111
16,10,4,20,8,8.5,4,2.8,66,80; 111
16,10,3,1,8,4,3.5,1.1,10,
16,10,4,3,6.5,3.5,2.2,1.5,90,
16,10,3,4,6,5.5,2.5,1.9,18,52; 39
16,10,4,6,6,4.5,3.2,2.4,111,86
16,10,3,4,9,10,4.1,2.4,55,71; 90
16,10,4,4,7,10,2.8,1.5,87,90; 71
16,10,3,18,7,7,2.1,1.3,71,85
16,10,4,6,8,5.4,3.1,2.3,87,71
16,10,4,5,6,4.3,1.8,1.2,39,18; 111
