Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead,,,
3,10,33,39,12,0,0,,,
3,10,34,39,13,0,0,,,
3,10,35,39,28,0,0,,,
3,10,36,18,10,0,0,,,
3,10,37,52,18,0,0,,,
3,10,38,52,14,0,0,,,
3,10,39,100,11,0,0,,,
3,10,40,61,28,0,0,,,
3,10,41,92,22,0,0,,,
3,10,42,61,21,0,0,,,
3,10,43,18,15,0,0,,,
4,1,1,61,16,0,0,,,
4,1,2,100,11,0,0,,,
4,1,3,100,14,0,0,,,
4,1,4,100,15,0,0,,,
4,1,5,39,14,0,0,,,
4,1,6,61,19,0,0,,,
4,1,7,61,12,0,0,,,
4,1,8,18,20,0,0,,,
4,1,9,18,12,0,0,,,
4,1,10,61,15,0,0,,,
4,1,25,61,20,0,0,,,
4,1,26,86,14,0,0,,,
4,1,27,100,12,0,0,,,
4,1,28,22,13,0,0,,,
4,1,29,52,19,0,0,,,
4,1,30,18,14,0,0,,,
4,1,31,61,23,0,0,,,
4,1,32,41,15,0,0,,,
4,1,33,18,15,0,0,,,
4,1,34,61,10,0,0,,,
4,2,1,55,19,0,0,,,
4,2,2,55,13,0,0,,,
4,2,3,55,19,0,0,,,
4,2,4,71,12,0,0,,,
4,2,5,55,12,0,0,,,
4,2,6,55,12,0,0,,,
4,2,7,10,25,0,0,,,
4,2,8,10,28,0,0,,,
4,2,9,55,15,0,0,,,
4,2,10,85,11,0,0,,,
4,2,11,87,23,0,0,,,
4,2,12,55,11,0,1,,,
4,2,13a,71,15,0,0,,,
4,2,13b,71,16,0,0,,,
4,2,13c,71,11,0,1,,,
4,2,14,55,16,0,0,,,
4,2,15,55,14,0,0,,,
4,2,16,55,13,0,0,,,
4,2,17,18,11,0,0,,,
4,2,18,18,15,0,0,,,
4,2,19,18,16,0,0,,,
4,2,20,111,10,0,1,,,
4,2,21,65,32,0,0,,,
4,2,22,65,25,0,0,,,
4,2,23,111,11,0,0,,,
4,2,24,111,11,0,0,,,
4,2,25,111,12,0,0,,,
4,2,26,111,13,0,0,,,
4,2,27,87,48,0,0,,,
4,2,28,111,16,0,0,,,
4,2,29,111,17,0,0,,,
4,2,30,87,39,0,0,,,
4,2,31,71,11,0,0,,,
4,2,32,111,11,0,0,,,
4,2,33,87,51,0,0,,,
4,2,34,22,12,0,0,,,
4,3,1,61,24,0,0,,,
4,3,2,71,10,0,0,,,
4,3,3,54,10,0,0,,,
4,3,4,54,12,0,0,,,
4,3,5,52,55,0,0,,,
4,3,6,52,14,0,0,,,
4,3,7,52,15,0,0,,,
4,3,8a,55,10,0,0,,,
4,3,8b,55,11,0,0,,,
4,3,8c,55,13,0,0,,,
4,3,9,55,14,0,0,,,
4,3,10,55,11,0,0,,,
4,3,11,55,16,0,0,,,
4,3,12,55,11,0,0,,,
4,3,13,55,10,0,0,,,
4,3,14,55,13,0,0,,,
4,3,15,55,13,0,0,,,
4,3,16,61,12,0,0,,,
4,3,17,71,27,0,0,,,
4,3,18,52,16,0,0,,,
4,3,19,55,14,0,0,,,
4,3,20,18,12,0,0,,,
4,3,21,71,13,0,0,,,
4,3,22,52,12,0,0,,,
4,3,23,1,12,0,0,,,
4,3,24,84,21,0,0,,,
4,3,25,71,17,0,0,,,
4,3,26,71,12,0,0,,,
4,3,27,58,19,0,0,,,
4,3,28,61,11,0,0,,,
4,3,29,58,11,0,0,,,
4,4,1,52,20,0,0,,,
4,4,2,61,18,0,0,,,
4,4,3,84,12,0,0,,,
4,4,4,84,14,0,0,,,
4,4,5,84,18,0,0,,,
4,4,6,84,16,0,0,,,
4,4,7,52,22,0,0,,,
4,4,8,18,14,0,0,,,
4,4,9,1,20,0,0,,,
4,4,10,1,11,0,0,,,
4,4,11,71,12,0,0,,,
4,4,12,61,19,0,0,,,
4,4,13,52,11,0,0,,,
4,4,14,52,129,0,0,,,
4,4,15,54,11,0,0,,,
4,4,16,22,13,0,0,,,
4,4,17,18,13,0,0,,,
4,4,18,71,16,0,0,,,
4,4,19,71,11,0,0,,,
4,4,20,71,13,0,0,,,
4,4,21,52,11,0,0,,,
4,4,22,52,11,0,0,,,
4,4,23,55,11,0,0,,,
4,4,24,52,65,0,0,,,
4,4,25,71,23,0,0,,,
4,4,26,52,13,0,0,,,
4,4,27,52,40,0,0,,,
4,4,28,10,14,0,0,,,
4,4,29,55,24,0,0,,,
4,4,30,55,13,0,0,,,
4,5,1,87,42,0,0,,,
4,5,2,87,40,0,0,,,
4,5,3,87,19,0,0,,,
4,5,4,1,12,0,0,,,
4,5,5,87,20,0,0,,,
4,5,6,87,51,0,0,,,
4,5,7,87,14,0,0,,,
4,5,8,55,13,0,0,,,
4,5,9,71,10,0,0,,,
4,6,1,61,32,0,0,,,
4,6,2,71,18,0,0,,,
4,6,3,55,10,0,0,,,
4,6,4a,81,10,0,0,,,
4,6,4b,81,16,0,0,,,
4,6,4c,81,20,0,0,,,
4,6,4d,81,22,0,0,,,
