Cluster ID,Plot ID,Tree ID,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m)
9,9,10,42,15.0,8.5,6.5
9,9,22,11,10.6,3.2,3.1
9,10,1,69,15.0,18.2,10.6
9,10,7,10,7.0,4.1,1.9
9,10,6c,32,11.0,9.9,8.9
10,1,7,18,9.6,7.6,6.1
10,1,4b,10,6.0,4.1,3.9
10,1,8a,38,11.0,10.2,9.4
10,2,6,77,14.0,16.8,15.2
10,2,25,10,6.8,3.9,2.6
10,2,17b,36,13.5,11.8,7.2
10,3,7,58,7.4,12.3,10.3
10,3,10,27,10.5,14.3,4.2
10,3,11,11,8.2,5.6,2.4
10,4,1,44,13.5,10.2,9.1
10,4,10,11,6.7,3.2,2.9
10,4,14,19,10.5,4.3,4.1
10,5,5,56,12.0,19.5,10.0
10,5,10,11,7.0,3.5,2.0
10,5,13,32,13.0,15.0,11.0
10,6,1,34,10.5,9.5,7.5
10,6,7,20,7.8,7.4,6.1
10,6,8,10,5.2,4.1,3.1
10,7,1,11,6.0,3.6,2.8
10,7,2,32,15.5,8.2,5.4
10,7,8,61,14.2,15.2,7.3
10,8,2,36,12.0,9.6,8.0
10,8,4,76,14.0,13.0,11.0
10,8,8,11,6.5,4.2,3.5
10,9,3,11,6.5,3.8,2.4
10,9,5,28,9.6,6.1,4.2
10,9,11,15,9.2,3.6,2.1
10,10,1,38,11.0,10.5,9.0
10,10,8,10,6.2,4.2,2.9
10,10,20,22,12.0,9.8,7.6
11,1,9,11,12.0,4.5,3.1
11,1,20,44,13.5,9.6,7.2
11,1,12b,24,14.0,5.8,3.6
11,2,11,10,6.5,4.9,2.6
11,2,12,36,10.5,15.9,10.2
11,2,13a,19,11.0,7.2,4.6
11,3,24,19,9.2,6.1,4.6
11,3,25,34,13.0,10.7,10.2
11,3,33,11,7.8,4.1,2.8
11,4,13,10,6.2,2.4,1.9
11,4,21,48,14.2,12.8,7.9
11,4,33,24,14.5,9.8,7.2
11,5,7,58,16.1,8.1,4.9
11,5,8,25,13.0,7.2,4.2
11,5,5c,10,7.8,2.6,1.4
11,6,1,11,9.8,3.2,2.6
11,6,15,40,13.6,14.2,7.6
11,6,17,21,10.6,6.8,4.2
11,7,1,10,5.1,5.7,4.0
11,7,19,48,15.0,10.5,8.6
11,7,24,25,11.0,10.2,6.5
11,8,1,24,8.5,3.9,3.2
11,8,2,11,7.8,5.1,3.7
11,8,4,45,12.0,11.6,9.3
11,9,4,54,12.0,14.5,10.4
11,9,9,26,12.1,8.9,8.1
11,9,12,10,5.2,6.5,5.2
11,10,22,51,13.0,12.4,8.1
11,10,34,11,4.4,6.2,4.1
11,10,35,24,10.5,8.6,5.8
12,3,1,18,8.0,6.5,4.2
12,3,2,11,6.5,6.0,2.5
12,3,5,10,5.0,4.4,3.5
12,4,2,12,6.5,4.9,3.8
12,4,4,10,6.0,4.2,2.0
12,4,5,16,9.5,7.0,5.5
12,6,10,24,10.5,8.6,6.2
12,6,15,10,6.0,4.2,3.4
12,6,2c,44,13.0,10.4,9.2
12,7,4,10,7.6,2.9,2.1
12,7,3b,22,12.0,6.3,4.3
12,7,17b,46,14.0,10.3,7.6
12,8,3,11,4.5,3.8,3.4
12,8,1b,24,11.0,8.5,5.6
12,8,1a,76,14.0,16.5,10.0
12,9,3,65,14.2,14.8,10.2
12,9,17,10,5.0,2.8,1.9
12,9,21,33,13.4,7.6,4.2
12,10,1,11,5.0,4.0,3.5
12,10,2,14,6.0,4.3,2.1
12,10,3,11,6.5,3.5,3.0
13,1,1,10,7.0,2.4,1.4
13,1,6,13,7.0,3.4,3.3
13,1,7,24,10.2,5.4,4.9
13,2,9,13,9.8,4.2,3.9
13,2,10,18,10.4,5.6,5.1
13,2,24,10,6.0,3.1,2.9
13,3,6,24,10.4,7.1,5.2
13,3,7,10,4.5,2.6,1.4
13,3,8,14,6.2,3.1,2.4
13,4,14,31,13.0,10.4,9.8
13,4,10a,60,15.5,14.3,12.6
13,4,10b,11,6.0,2.1,1.9
13,6,20,10,6.8,4.2,4.1
13,6,23,24,9.1,4.6,4.1
13,6,25,48,12.6,11.3,9.4
13,7,1,44,13.0,11.2,10.9
13,7,22,22,12.0,9.4,7.3
13,7,25,10,5.5,3.2,2.4
13,8,4,12,6.2,3.8,2.4
13,8,7,24,10.4,7.1,5.2
13,8,8,10,4.5,2.6,1.4
13,9,13,58,13.5,14.4,13.3
13,9,18,11,7.2,3.8,3.1
13,9,21,28,12.0,7.2,6.2
13,10,3,58,12.0,8.6,7.2
13,10,19,26,11.5,5.3,3.4
13,10,22,10,7.0,3.4,2.6
13,11,1,53,13.0,16.4,12.3
13,11,6,25,11.5,7.1,6.2
13,11,7,11,6.2,3.4,1.9
14,1,1,42,13.0,14.2,12.1
14,1,9,10,7.2,4.5,3.8
14,1,13,21,10.0,6.9,6.1
14,2,1,46,15.0,12.8,11.1
14,2,11,22,9.0,7.4,5.6
14,2,17,11,7.0,5.5,4.6
14,3,1,38,11.5,12.0,10.5
14,3,2,18,11.0,8.0,7.2
14,3,8,11,6.5,5.0,3.5
14,4,3,12,4.3,2.6,2.2
14,4,4,18,7.0,3.5,3.2
14,4,8,32,12.2,17.0,15.5
14,5,4,15,11.0,3.9,3.7
14,5,6,11,7.5,4.3,4.0
14,5,8,28,13.0,9.4,9.1
14,8,7,50,18.0,13.0,9.7
14,8,11,25,15.0,6.5,6.2
14,8,21,11,9.0,3.5,2.4
14,11,12,10,5.0,3.4,3.0
14,11,15,18,10.0,6.6,6.0
14,11,21,11,7.5,5.4,3.1
15,2,10,10,7.8,3.1,2.4
15,2,11a,40,13.5,10.5,9.6
15,2,11c,22,11.0,8.5,6.5
15,3,20,10,5.5,3.6,2.8
15,3,22,62,15.0,16.2,12.1
15,3,4a,27,11.0,8.5,5.5
15,5,3,11,11.5,3.1,2.9
15,5,32,36,15.5,8.5,7.3
15,5,42,72,16.0,14.5,13.2
15,6,1,20,10.2,7.2,5.2
15,6,3,40,14.0,9.5,7.3
15,6,14,10,7.3,4.2,2.9
15,7,31,22,12.0,5.2,4.1
15,7,48,10,11.0,3.1,3.0
15,7,54,46,19.0,16.3,14.2
15,8,6,10,8.4,3.1,2.1
15,8,14,35,13.3,11.9,9.6
15,8,19,17,9.8,4.8,3.1
15,9,1,18,8.5,7.5,4.3
15,9,2,12,7.0,4.2,3.7
15,9,3,13,6.5,4.5,3.1
15,10,2,12,7.0,4.3,2.1
15,10,3,11,5.0,2.3,0.5
15,10,4,15,6.0,4.0,1.5
15,11,6,40,14.5,15.5,9.5
15,11,20,20,12.0,10.5,8.0
15,11,10b,10,6.0,4.0,2.5
16,1,3,16,8.0,6.5,4.3
16,1,4,36,12.0,9.8,5.3
16,1,10,12,7.0,4.0,3.1
16,2,5,119,24.0,15.0,12.0
16,2,6,56,18.0,13.0,12.0
16,2,7,11,10.5,5.6,4.2
16,6,5,42,14.5,12.4,8.6
16,6,11,10,6.0,4.4,2.9
16,6,13,80,19.0,14.0,12.3
16,7,19,90,26.0,14.3,12.4
16,7,25,42,20.0,9.5,7.3
16,7,27,11,8.0,5.4,4.5
16,9,16,15,11.0,5.1,4.8
16,9,25,22,13.0,9.8,7.3
16,9,33,10,9.0,4.3,3.5
16,10,7,16,11.0,6.2,6.1
16,10,8,10,10.0,4.2,2.6
16,10,12,28,13.0,7.4,6.5
